도서관코드,시도,시군구,취약계층서비스이용수_합계,취약계층서비스이용수_장애인,취약계층서비스이용수_노인,취약계층서비스이용수_다문화,취약계층관련예산_합계,취약계층관련예산_장애인,취약계층관련예산_노인,취약계층관련예산_다문화,취약계층공간_장애인,취약계층공간_노인,취약계층공간_다문화,어린이실,어린이서비스_이용수,어린이자료_인쇄수
20601110032,서울,동대문구,6507,61,6366,80,6561,6390,171,0,자료실내 코너,자료실내 코너,자료실내 코너,유,9608,7730
2060146016,전남,보성군,0,0,0,0,0,0,0,0,미설치,미설치,미설치,무,0,0
2060146041,전남,나주시,93,14,65,14,4000,2000,0,2000,자료실내 코너,자료실내 코너,자료실내 코너,유,15370,30810
20601110021,서울,서초구,12,12,0,0,0,0,0,0,자료실내 코너,미설치,자료실내 코너,유,5434,17145
20601110044,서울,서초구,3891,129,3346,416,7636,0,136,7500,자료실내 코너,미설치,자료실내 코너,유,66245,23899
2020141001,경기,성남시,27342,601,26608,133,7000,1000,6000,0,별도 자료실,자료실내 코너,미설치,유,35603,73696
2060141237,경기,성남시,1491,65,1426,0,1000,0,1000,0,별도 자료실,자료실내 코너,미설치,유,32967,25110
2060141007,경기,성남시,4004,1456,2548,0,25533,20090,5443,0,별도 자료실,자료실내 코너,미설치,유,36715,90686
2060141008,경기,성남시,4193,1148,2539,506,51197,5092,40337,5768,별도 자료실,자료실내 코너,자료실내 코너,유,135729,105971
2060141173,경기,성남시,7,7,0,0,0,0,0,0,자료실내 코너,미설치,미설치,유,37169,30529
2060141006,경기,성남시,8794,49,8745,0,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,14423,83104
2060141009,경기,성남시,4602,1093,3122,387,22791,5082,4280,13429,별도 자료실,자료실내 코너,별도 자료실,유,49000,104449
2060141123,경기,성남시,5927,72,5663,192,5369,0,5060,309,별도 자료실,자료실내 코너,자료실내 코너,유,38988,76859
2060147023,경북,성주군,12,0,12,0,0,0,0,0,자료실내 코너,자료실내 코너,미설치,무,150,1920
2060111029,서울,관악구,640,10,630,0,2087,344,1743,0,자료실내 코너,자료실내 코너,자료실내 코너,유,2727,29930
20601110054,서울,중구,1557,0,1557,0,8234,2734,5500,0,자료실내 코너,자료실내 코너,미설치,무,0,0
2060111087,서울,송파구,9547,628,6875,2044,32598,17934,5554,9110,자료실내 코너,자료실내 코너,자료실내 코너,유,79762,40276
2060141001,경기,수원시,3110,415,2482,213,5540,5540,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,2553,103646
2060141003,경기,수원시,3484,396,2669,419,5735,935,0,4800,미설치,자료실내 코너,자료실내 코너,유,17184,75947
2060141183,경기,수원시,3528,381,2930,217,1535,1535,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,11123,34084
2060141002,경기,수원시,2403,345,1603,455,11480,0,11480,0,자료실내 코너,자료실내 코너,자료실내 코너,유,8337,47158
2060141168,경기,수원시,1427,296,964,167,1600,1600,0,0,자료실내 코너,미설치,미설치,유,8845,28965
2060141164,경기,수원시,1921,337,1465,119,1550,1550,0,0,자료실내 코너,자료실내 코너,미설치,유,9649,29421
2060141116,경기,시흥시,138,1,24,113,2545,0,0,2545,자료실내 코너,자료실내 코너,자료실내 코너,유,3482,35875
2060141124,경기,시흥시,800,226,470,104,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,3860,39127
2060141037,경기,시흥시,3248,64,2664,520,0,0,0,0,미설치,자료실내 코너,미설치,무,5635,27390
2060141141,경기,시흥시,50,0,50,0,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,748,17650
2060141245,경기,시흥시,276,0,155,121,709,0,709,0,자료실내 코너,자료실내 코너,자료실내 코너,유,5427,28075
2060141142,경기,시흥시,65,0,65,0,0,0,0,0,자료실내 코너,미설치,미설치,유,400,21534
2060141288,경기,시흥시,0,0,0,0,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,3595,10445
2060141181,경기,시흥시,5255,370,139,4746,0,0,0,0,미설치,자료실내 코너,미설치,무,8871,22813
2060141036,경기,시흥시,8471,416,5559,2496,0,0,0,0,미설치,미설치,미설치,유,41445,108074
20601110061,서울,동작구,766,5,681,80,11393,0,10973,420,자료실내 코너,자료실내 코너,미설치,유,11189,15720
20601110058,서울,광진구,2045,65,1789,191,0,0,0,0,미설치,미설치,미설치,유,10645,4433
2060141193,경기,안산시,1370,251,739,380,1440,0,1440,0,자료실내 코너,자료실내 코너,미설치,유,12128,24085
2060141021,경기,안산시,3498,107,2322,1069,18000,0,5000,13000,자료실내 코너,자료실내 코너,자료실내 코너,유,19536,53337
2060141022,경기,안산시,6626,512,5503,611,1800,1800,0,0,자료실내 코너,자료실내 코너,미설치,유,6015,46191
2060141016,경기,안양시,4928,161,1840,2927,7110,1600,3297,2213,자료실내 코너,자료실내 코너,미설치,유,27130,59542
2060141017,경기,안양시,2105,15,2090,0,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,30569,41352
2060141158,경기,안양시,1379,4,1375,0,3738,0,3738,0,자료실내 코너,자료실내 코너,미설치,유,19887,26805
2060141015,경기,안양시,6709,24,5565,1120,19654,0,5401,14253,자료실내 코너,별도 자료실,별도 자료실,유,52118,96063
2060141018,경기,안양시,535,4,531,0,904,0,904,0,미설치,자료실내 코너,별도 자료실,무,5868,68428
2060141019,경기,안양시,23148,169,9623,13356,3060,0,0,3060,자료실내 코너,자료실내 코너,자료실내 코너,유,47237,53852
2060141261,경기,여주시,2874,229,2129,516,458,0,458,0,자료실내 코너,자료실내 코너,자료실내 코너,유,7244,8027
2060111054,서울,강남구,4733,196,4485,52,3640,1840,1800,0,자료실내 코너,자료실내 코너,미설치,유,5796,25156
20601110008,서울,양천구,16426,9,15820,597,163,0,163,0,미설치,자료실내 코너,미설치,유,89059,48341
2060141175,경기,오산시,96,12,48,36,1000,0,0,1000,자료실내 코너,미설치,미설치,유,68572,23777
20601110015,서울,용산구,2699,141,2443,115,6497,1497,1500,3500,자료실내 코너,미설치,미설치,유,10792,28381
2060141027,경기,용인시,1889,1889,0,0,3311,1002,993,1316,자료실내 코너,자료실내 코너,자료실내 코너,유,115916,50477
2060141025,경기,용인시,16468,2437,13645,386,9498,4777,4295,426,자료실내 코너,자료실내 코너,자료실내 코너,유,546248,93199
2060141092,경기,용인시,9020,1777,6903,340,3451,2102,900,449,자료실내 코너,자료실내 코너,자료실내 코너,유,196966,76704
2060141026,경기,용인시,2328,834,1411,83,3333,1880,998,455,자료실내 코너,자료실내 코너,자료실내 코너,유,72814,61571
2060111058,서울,강서구,860,51,805,4,9132,4760,4332,40,자료실내 코너,자료실내 코너,미설치,유,96466,33027
2060131016,울산,중구,809,14,768,27,65728,16140,30057,19531,자료실내 코너,자료실내 코너,자료실내 코너,유,56353,20986
2060131008,울산,울주군,6503,1116,4865,522,13526,3553,4960,5013,자료실내 코너,자료실내 코너,별도 자료실,유,23490,69111
20601110011,서울,성북구,1045,98,925,22,0,0,0,0,자료실내 코너,자료실내 코너,미설치,무,387,0
2060111060,서울,관악구,1336,157,1146,33,9443,4637,4806,0,자료실내 코너,자료실내 코너,자료실내 코너,유,15189,22471
2060141052,경기,의왕시,20201,261,19718,222,12290,1650,4640,6000,자료실내 코너,자료실내 코너,미설치,유,95790,80974
2060141051,경기,의왕시,5889,160,5729,0,28240,2840,25400,0,자료실내 코너,자료실내 코너,자료실내 코너,유,49338,98319
2060141065,경기,의정부시,544,8,536,0,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,42230,66305
