시도,시군구,총인구,어린이인구,노인인구,장애인인구,다문화인구
경북,의성군,2578999,247440,641256,177436,1003
경기,이천시,13914479,1605204,2271730,587910,6307
전북,임실군,1758836,173209,428718,128993,754
전북,장수군,1758836,173209,428718,128993,754
충북,증평군,1646328,170338,343098,96694,701
경북,청송군,2578999,247440,641256,177436,1003
충북,진천군,1646328,170338,343098,96694,701
충남,천안시,2238243,240354,466278,133136,1187
전북,완주군,1758836,173209,428718,128993,754
강원,평창군,1522881,146190,375254,99542,548
전남,함평군,1778338,178371,466874,134551,766
전남,해남군,1778338,178371,466874,134551,766
충남,부여군,2238243,240354,466278,133136,1187
서울,서대문구,9335444,807110,1791491,386316,4127
전남,화순군,1778338,178371,466874,134551,766
강원,화천군,1522881,146190,375254,99542,548
서울,동대문구,9335444,807110,1791491,386316,4127
충남,공주시,2238243,240354,466278,133136,1187
경기,과천시,13914479,1605204,2271730,587910,6307
전남,구례군,1778338,178371,466874,134551,766
경기,김포시,13914479,1605204,2271730,587910,6307
대구,남구,2369335,246873,487531,130674,732
전남,보성군,1778338,178371,466874,134551,766
경북,성주군,2578999,247440,641256,177436,1003
경기,안양시,13914479,1605204,2271730,587910,6307
경기,의왕시,13914479,1605204,2271730,587910,6307
경기,하남시,13914479,1605204,2271730,587910,6307
광주,남구,1444171,165842,250216,69175,447
경기,가평군,13914479,1605204,2271730,587910,6307
경기,고양시,13914479,1605204,2271730,587910,6307
경기,군포시,13914479,1605204,2271730,587910,6307
충남,아산시,2238243,240354,466278,133136,1187
경기,안성시,13914479,1605204,2271730,587910,6307
전북,익산시,1758836,173209,428718,128993,754
경남,창녕군,3264243,354782,688244,187756,1181
서울,강북구,9335444,807110,1791491,386316,4127
경남,거제시,3264243,354782,688244,187756,1181
경북,구미시,2578999,247440,641256,177436,1003
서울,금천구,9335444,807110,1791491,386316,4127
충남,당진시,2238243,240354,466278,133136,1187
대전,중구,1467093,156617,258258,71344,483
경북,문경시,2578999,247440,641256,177436,1003
대구,수성구,2369335,246873,487531,130674,732
경북,안동시,2578999,247440,641256,177436,1003
전남,여수시,1778338,178371,466874,134551,766
전남,장성군,1778338,178371,466874,134551,766
경남,진주시,3264243,354782,688244,187756,1181
충남,태안군,2238243,240354,466278,133136,1187
경기,평택시,13914479,1605204,2271730,587910,6307
경기,포천시,13914479,1605204,2271730,587910,6307
경북,포항시,2578999,247440,641256,177436,1003
경남,함안군,3264243,354782,688244,187756,1181
경기,화성시,13914479,1605204,2271730,587910,6307
경남,양산시,3264243,354782,688244,187756,1181
경남,거창군,3264243,354782,688244,187756,1181
충남,서천군,2238243,240354,466278,133136,1187
대구,중구,2369335,246873,487531,130674,732
전북,무주군,1758836,173209,428718,128993,754
부산,서구,3257256,310485,767683,174256,927
부산,중구,3257256,310485,767683,174256,927
전남,담양군,1778338,178371,466874,134551,766
경남,산청군,3264243,354782,688244,187756,1181
경남,의령군,3264243,354782,688244,187756,1181
경남,하동군,3264243,354782,688244,187756,1181
경남,함양군,3264243,354782,688244,187756,1181
경남,합천군,3264243,354782,688244,187756,1181
경북,봉화군,2578999,247440,641256,177436,1003
경북,영덕군,2578999,247440,641256,177436,1003
경북,영양군,2578999,247440,641256,177436,1003
경북,울릉군,2578999,247440,641256,177436,1003
경북,청도군,2578999,247440,641256,177436,1003
전북,진안군,1758836,173209,428718,128993,754
대구,군위군,2369335,246873,487531,130674,732
