도서관코드,도서관_부지면적,도서관_건물_연면적,도서관_서비스_제공면적,총좌석수,어린이_열람석,노인및장애인_열람석
2050146014,3795,800.69,547.39,312,76,2
2050146018,6720,3661.96,2132.13,1000,320,2
2050146012,1730,1448.34,882.8,355,60,7
2050146019,2921,2265.2,1226,450,100,36
2050146016,1630,820.1,538.9,260,50,5
2050146013,2198,2257.04,710,300,70,3
2050146011,4241,1755,1414.72,600,50,4
2060145015,3342,837,590,100,20,0
2050144017,26770,12267,4772,358,145,6
2060141077,6600,611,252,68,20,0
2060147035,606.06,606.06,606,43,43,0
2060141231,13002,1696,1508,343,55,4
2060141255,12344,1790,1553,280,110,2
2060141241,14844,1330,1210,204,73,2
2060141249,282284,2192,1435,218,71,6
2050148012,3665,3004,2135,638,86,12
2050148023,1411,974,697.54,161,20,0
2050148018,2017.9,2750.61,1813.49,240,81,4
2050148007,7560,6679,3429,625,191,16
2050148016,1650,1246,833,120,34,4
2050148019,1071,1374.43,925.17,58,37,1
2050148002,13105,4662.64,3249,827,336,11
2050148009,1720,1104.42,694.56,273,20,15
2050148006,2309,1691,1067,237,42,4
2050148021,1497,1299.9,889.2,147,53,11
2050148017,3000,3094.47,1616.7,242,72,1
2050148013,3323,1851,1100,139,60,8
2050148003,4081,1423,627,288,42,2
2050148011,1000,1233,756.32,232,50,3
2050148008,6782,1324.43,822,181,30,1
2050148015,5796,2328.41,1374.52,150,100,5
2050148001,15999.7,8375,4633.81,417,158,21
2050148004,1650,1609,1073,251,77,5
2050148010,1382,1019,695,221,50,0
2050148020,4844,1753.58,1058.39,136,44,2
2050148014,4300,2464.38,1935,459,94,2
2050148022,1387,1318,694,186,33,3
2050148024,8847,1278.12,729.78,258,22,6
2050147021,3519,1731.16,934.36,176,34,32
2050147001,6470,4722,2978,590,120,22
2050147012,990,1218.45,794,200,70,22
2050147025,940,1022.64,574,300,24,4
2050147003,7628,3898,2316,1208,90,40
2050147023,5365,2292.82,1249.05,510,60,9
2050147002,4827,4380,2705,1276,200,72
2050147019,2743,3177,1815,368,82,1
2050147018,1800,1125,113,113,23,1
2050147004,1826,1086,780,160,50,0
2050147024,245.46,245.46,118.8,6,3,3
2050147008,2121,938,588,300,89,6
2050147027,731,633.48,492.09,70,20,0
2050147026,2263,1672.85,1006,350,20,7
2050147016,6716,2966,1905,550,60,6
2050147006,2203,1454.41,992.31,313,30,1
2050147020,3724,2813.59,1972,510,90,5
2050147017,4111,1387,865.9,350,48,150
2050147022,2836,1242.45,787.29,507,20,1
2060141157,6663,5352.31,2097.83,549,117,1
2060123025,351889.5,2619.38,1779.66,319,75,4
2060123024,23509.2,2218.06,1249.96,220,75,4
2060123026,693252,4402.55,2056.82,395,30,4
2060149013,22820,4823,3348,298,89,34
2050141006,1841,1494,746,236,50,1
2050124001,3587.8,3939.1,2492.55,393,97,2
2060125004,22767,2800.35,1365.75,194,43,2
2060125002,2134,2467,903.66,233,56,15
2060125005,355.2,468.72,356,73,19,1
2060121022,10052,1536.09,1043.91,210,49,4
2060111017,757,2765,1182,149,38,2
2050111001,1079.1,1631.41,1534.2,202,36,8
2050111002,3196.2,3102.26,2654.65,663,111,7
2050111003,3576,4014.15,4014.15,452,70,28
2050111004,7482,2377,1970.44,443,94,3
2050111005,3305.8,5437.66,4127.77,528,88,7
2050111006,1737.5,2537.6,2258.32,356,30,10
2050111007,13316,9409.9,8969.34,567,0,1
2050111008,2024,2743,2406.4,337,42,4
2050111010,1721,1974.33,1740.79,233,36,2
2050111012,6469.68,8259.7,5953.58,894,109,14
2050111013,4244,6864,5759,870,120,8
2050111014,1736,6946,5539,426,70,20
2050111015,36470,13282.09,11177,886,62,28
2050111016,2914.5,3543.1,3035.2,567,0,5
2060145007,2910,3959,1407,130,70,6
2050123007,5500.1,6059.18,3541.39,947,117,47
2050123003,5663,3374,2640.5,469,60,13
2050123001,9362.8,8098.3,4934.02,860,64,24
2050123006,6609,7757,3923,965,222,12
2050123008,6354.1,5343.98,3116.67,1183,80,24
2050123004,6611,4996.56,2543.13,835,100,16
2050123002,3979,5506,3443,888,96,89
2060144042,9457.21,2852.73,2324.42,467,140,1
2060141273,1630,1859,1409.37,250,115,70
2060141071,1387,447,392,54,0,0
2060141072,2593,1163,813,85,37,0
2060141073,2238,1080,995.41,152,0,0
2050148005,2216,1606.4,1022.15,288,20,1
2060122027,1237.56,437.99,400.44,106,20,0
2060122013,1621,565.15,502.49,79,14,3
2060124018,2518,1113.6,755.3,89,2,1
2060125018,107.46,511.02,457,71,33,4
2050111009,991.74,4352.09,3650,323,46,8
2050111011,4322,3909,3619,567,56,8
2060122025,479.81,479.81,361.56,137,0,0
2050123005,2012,3604,2791,662,59,9
2050146020,9075,694,678,152,100,14
2050146005,9185,712,589.88,65,46,6
2050144016,12097,2408,1716,350,60,1
2050144015,6804,6599.76,2379.37,288,62,1
2050144018,16838,3421,1664,266,74,2
2060141246,11515,1774,1654,168,56,3
2060141197,11002,2965,1839,464,199,10
2050147005,5999.9,4785.41,2367,1040,220,21
2060141247,1843,4877,3624,578,130,2
2060123023,516.35,516.35,450.74,76,0,2
2050124003,6503,7105.27,2837.41,1195,50,15
2050121003,1345,1462,1105,261,22,22
2050146007,1987,1978.98,1168.7,318,20,12
2050146021,29999,9035.43,3607.6,730,210,10
2050145006,6174,1128,799.2,87,35,1
2050145012,1600,1007.7,601,159,20,1
2050145005,1310,2021.15,1144.13,276,37,2
2050145009,1520,1364,1038,176,45,1
2050145008,618.9,624.08,409.34,155,21,2
2050145011,3098,1065,721,108,18,1
2050145004,2270.8,1464.08,949,65,7,1
20601110067,549,455.48,434.52,84,57,2
2060141120,40397,6464,6250,1066,60,6
2060141287,170312,3317,2277,347,129,3
2050148027,1620,1197,823,200,42,3
2050124004,14876,18350,2655.26,434,146,20
2050144001,1618,1069,662,407,15,10
2050144002,1329,965,543,184,40,0
2050144003,1718,1169,748.2,154,32,3
2050144004,3145,2264.86,1056,327,97,3
2050144005,2341,1663,731,105,28,4
2050144006,3096,1013,565,109,49,1
2050144007,4073,986.25,795.18,125,10,1
2050144008,2450,1175,564,100,48,0
2050144009,2109,866.25,514.45,30,25,5
2050144010,2170,1227,929.05,180,41,1
2050144012,10302,1602,931,139,53,3
2050144013,4147,2391.68,1329,366,64,1
2050144014,2240,1825,1003.26,264,31,3
2050144019,3992,1697,1080.04,123,59,2
2050144020,4173,2596.44,1539.99,258,76,2
2050147013,1040,802.98,536.88,290,25,4
2050147007,2671,2077.56,1497.56,418,75,4
2050147010,2800,1333,787,350,44,2
2050147014,2068,894,605,200,14,0
2050147015,5781,2205,1177,512,60,0
2050144011,2826,4566.38,1733,238,30,1
2050146022,27055,775.37,685.46,125,40,10
2050148026,13485,3479.92,2118,717,250,10
2050148025,3697.5,2642.36,1131,492,248,17
2030141002,55661,648,621,65,42,0
2050124005,3360,3310,1464,248,44,6
2050124002,65837,13783,5274,763,190,15
2050147011,4864,1002.42,563.4,350,60,6
2050111017,9507.3,3853.64,3408.23,1007,29,5
2050111021,3055,4223.46,3986,635,40,7
2050111018,4400,9716,6615,880,132,44
2050145017,14036.33,4219.68,2996.75,321,94,4
2050145018,8099.1,4975.3,3743.02,162,76,4
2050145003,15087,7412.06,4063.28,124,14,0
2050145010,9544,2177.4,1803.74,240,50,0
2050145001,10704,7175,4563,225,60,0
2050145016,24432,7234,4706,653,80,4
2050111020,3240,6804.7,4428.57,468,106,10
2050124006,4142,2240.73,574.66,353,36,0
2050111019,1157,1808.89,1669.18,261,46,3
2050145014,1202,776.16,725.76,20,10,1
2050145007,937,565.85,360.87,47,21,0
2050145013,1781,740,453,64,10,0
2050145002,1569,1184,679.5,233,16,0
2030141008,8089,550,530,65,30,6
2060811018,5600,370.25,344.63,100,　,0
2060845002,2776,2284,1054,124,　,1
2030842001,459,501.61,469,70,　,0
2060811007,341.87,341.87,260,56,　,0
2060846003,7242,2132,1194,166,　,4
2060843004,3840,3409.02,1681.87,250,　,10
2060821005,2438,1289.18,874.47,264,　,25
2060846004,5889,1469.43,949.02,160,　,0
2060811020,1077.78,658.97,479,120,　,3
2060844001,1717,528.52,373.16,100,　,0
2060811003,1010.9,577.81,498.33,100,　,2
2060848006,2783,1458,1050,300,　,0
